IP,cf-meta-ip,端口,速度(Mbps),CF归属国,机房,TCP延迟(ms),TLS延迟(ms)
188.245.161.141,2a01:4f8:c17:1e71::1,443,4.87,DE,FRA,97.65,115.57
152.53.141.9,152.53.141.9,8443,4.84,DE,FRA,94.16,112.22
37.221.196.59,37.221.196.59,443,4.76,DE,FRA,104.6,136.47
194.35.13.234,2602:fc16:2:4af::24b9,2053,4.76,DE,FRA,93.63,117.11
88.198.82.150,178.63.88.12,443,4.76,DE,FRA,91.81,125.19
89.58.12.232,89.58.12.232,8443,4.73,DE,FRA,117.38,152.82
194.48.250.224,2a12:bec4:1480:1a5::2,443,4.7,DE,FRA,92.36,222.14
89.58.31.46,89.58.31.46,443,4.66,DE,FRA,103.03,119.15
5.75.220.142,5.75.239.69,443,4.57,DE,FRA,92.78,110.15
94.16.115.17,94.16.115.17,443,4.57,DE,HAM,101.1,138.55
152.53.178.240,152.53.178.240,443,4.56,DE,FRA,93.58,107.34
77.110.117.137,77.110.117.137,2053,4.55,DE,FRA,91.98,105.36
152.53.146.92,152.53.146.92,443,4.49,DE,FRA,100.57,110.08
77.90.33.155,77.90.33.155,443,4.48,DE,FRA,99.36,139.49
45.12.254.163,45.12.254.163,8443,4.45,DE,FRA,95.27,108.29
89.58.40.232,89.58.40.232,8443,4.44,DE,FRA,100.32,110.46
85.208.139.48,85.208.139.48,443,4.44,DE,FRA,93.11,101.84
77.221.157.251,2a01:e5c0:59f9::2,8443,4.43,DE,FRA,90.24,94.97
45.145.40.47,45.145.40.47,2087,4.4,DE,FRA,88.65,95.73
176.96.137.96,176.96.137.96,8443,4.4,DE,FRA,91.4,97.42
148.251.126.58,148.251.126.58,443,4.4,DE,FRA,93.56,117.43
37.1.198.43,37.1.198.43,443,4.39,DE,FRA,91.6,113.4
152.53.245.45,152.53.245.45,8443,4.38,DE,FRA,93.83,116.97
162.55.217.158,162.55.217.158,8443,4.37,DE,FRA,92.3,111.68
57.129.47.71,57.129.47.71,8443,4.32,DE,FRA,90.27,99.66
188.245.235.81,188.245.235.81,443,4.31,DE,SOF,95.18,184.93
62.60.229.255,62.60.229.255,443,4.31,DE,FRA,116.12,182.44
205.198.91.126,2404:c140:2201:1::48:101a,443,4.29,DE,FRA,90.99,97.66
185.65.202.101,185.65.202.101,8443,4.24,DE,FRA,100.81,128.57
152.53.14.169,152.53.14.169,8443,4.18,DE,FRA,92.29,104.68
51.89.22.118,51.89.22.118,2053,4.17,DE,FRA,90.63,108.8
157.245.21.166,64.226.111.107,443,4.13,DE,FRA,97.7,101.65
167.17.182.178,167.17.182.178,443,4.12,DE,MXP,90.21,120.77
152.53.227.90,152.53.227.90,443,4.1,DE,FRA,94.49,113.62
37.120.191.140,37.120.191.140,443,4.1,DE,FRA,99.24,114.78
152.53.139.34,152.53.139.34,443,4.09,DE,FRA,94.03,113.93
152.53.141.186,152.53.141.186,8443,4.07,DE,FRA,100.4,106.1
162.19.243.185,2001:41d0:701:1100::a499,8443,4.06,DE,FRA,101.17,162.61
191.96.94.226,191.96.94.226,443,4.04,DE,FRA,92.36,101.55
62.133.60.155,62.133.60.155,443,4.04,DE,FRA,89.07,98.39
87.106.162.236,2a01:239:46a:fa00::1,443,4.04,DE,TXL,108.86,124.09
194.48.250.61,194.48.250.61,8443,4.03,DE,FRA,93.81,106.65
85.234.100.221,85.234.100.221,443,4.03,DE,FRA,89.68,101.09
57.129.47.59,57.129.47.59,2053,4.01,DE,FRA,94.16,127.19
135.125.191.9,135.125.191.9,8443,4.0,DE,FRA,91.53,103.18
216.126.229.60,2602:fa59:8:67f::1,8443,3.94,DE,FRA,92.68,100.76
37.120.191.25,37.120.191.25,443,3.93,DE,FRA,99.4,110.19
89.169.55.122,89.169.55.122,443,3.92,DE,FRA,93.88,97.09
152.53.136.238,152.53.136.238,8443,3.92,DE,FRA,93.71,109.9
37.120.191.140,37.120.191.140,8443,3.92,DE,FRA,99.17,111.64
38.180.228.27,38.180.228.27,443,3.92,DE,FRA,95.5,112.71
147.45.210.78,147.45.210.78,443,3.91,DE,FRA,97.53,117.27
92.118.8.248,92.118.8.248,443,3.89,DE,FRA,92.75,96.27
77.221.157.251,2a01:e5c0:59f9::2,2083,3.87,DE,FRA,90.91,96.47
193.135.137.79,193.135.137.79,443,3.83,DE,FRA,94.45,112.3
5.61.32.186,5.61.32.186,443,3.82,DE,FRA,91.85,107.37
37.120.191.25,37.120.191.25,8443,3.8,DE,FRA,99.24,110.01
145.239.244.9,2001:41d0:700:b09::1,443,3.76,DE,FRA,91.89,99.15
38.180.219.122,38.180.219.122,443,3.75,DE,FRA,93.79,111.18
109.120.184.141,109.120.184.141,443,3.73,DE,FRA,115.91,207.54
57.129.47.56,57.129.47.56,8443,3.73,DE,FRA,91.1,179.24
57.129.47.56,57.129.47.56,2053,3.73,DE,FRA,112.51,188.48
37.221.199.240,37.221.199.240,443,3.73,DE,FRA,100.2,112.48
77.223.215.167,77.223.215.167,443,3.72,DE,FRA,94.81,98.55
188.68.35.111,188.68.35.111,443,3.72,DE,FRA,99.16,110.41
49.13.137.20,2a01:4f8:c013:df2b::1,2053,3.71,DE,FRA,96.44,112.67
199.247.18.207,199.247.18.207,443,3.66,DE,FRA,89.64,94.87
77.110.117.137,2a0f:cdc6:500:196d::2,443,3.66,DE,FRA,96.49,106.54
152.53.153.86,152.53.153.86,8443,3.65,DE,FRA,94.51,107.88
37.221.197.112,37.221.197.112,8443,3.64,DE,FRA,99.3,110.16
135.125.190.99,135.125.190.99,2053,3.63,DE,FRA,91.44,110.16
113.30.189.95,113.30.190.30,443,3.63,DE,FRA,94.37,127.59
185.216.177.197,2a03:4000:4f:76::,443,3.61,DE,FRA,92.51,106.5
162.19.243.185,2001:41d0:701:1100::a499,2053,3.6,DE,FRA,141.85,293.93
152.53.136.238,152.53.136.238,443,3.59,DE,FRA,95.16,112.75
194.87.71.42,194.87.71.42,443,3.58,DE,FRA,87.67,111.3
5.75.203.188,5.75.203.188,8443,3.54,DE,FRA,92.6,115.14
57.129.47.40,2001:41d0:701:1100::a1f0,8443,3.54,DE,FRA,95.58,198.66
51.89.23.69,51.89.23.69,2053,3.53,DE,FRA,93.11,103.17
152.53.225.145,152.53.225.145,443,3.53,DE,FRA,95.09,106.22
94.159.98.113,94.159.98.113,443,3.52,DE,FRA,96.56,108.93
51.195.37.135,51.195.37.135,443,3.5,DE,FRA,91.64,107.52
178.20.209.70,2a0b:4140:b19e::2,443,3.47,DE,FRA,98.26,94.35
91.132.163.187,2a12:bec4:1bb0:1bf::2,8443,3.45,DE,FRA,90.75,91.27
77.239.102.140,2a01:ecc0:200:15e6::2,8443,3.44,DE,FRA,95.6,99.86
57.129.47.71,57.129.47.71,2053,3.44,DE,FRA,91.14,97.11
109.120.135.91,109.120.135.91,2053,3.42,DE,FRA,142.13,215.72
